Wormbase_ID,Status,Sequence_Name,Gene_Name,Other_Name
WBGene00219529,Dead,,,Y52E8A.8
WBGene00219543,Live,,eri-8,
WBGene00235206,Live,W07G1.24,,U2
WBGene00235234,Dead,,,Y57G11C.1147
WBGene00235248,Dead,,,ZK105.14
WBGene00235323,Live,F15B9.15,,CELE_F15B9.15
WBGene00235327,Live,T02B11.10,srlf-20,T02B11.10
WBGene00235363,Live,F49F1.2,,CELE_F49F1.2
WBGene00235364,Live,F49F1.4,,CELE_F49F1.4
WBGene00268195,Live,,susm-1,
WBGene00269374,Dead,,,CELE_F35F10.18
WBGene00271707,Live,ZK105.14,,CELE_ZK105.14
WBGene00303007,Live,Y57G11C.1147,,CELE_Y57G11C.1147
WBGene00306126,Live,Y54F10AM.16,cone-1,CELE_Y54F10AM.16
